Ticker,Company,Current Price 11/20 (USD),Change,Change (%),2 Week Prediction (USD),2 Week Actual Price (USD),Difference (USD),Percent Difference (%)
AAPL,Apple Inc. (AAPL),275.92,2.34,0.01,288.32,286.19,2.13,0.74%
MSFT,Microsoft Corporation (MSFT),474.00,3.01,0.01,494.25,490.00,4.25,0.86%
GOOGL,Alphabet Inc. (GOOGL),318.58,-1.25,-0.01,315.31,319.63,-4.32,-1.37%
AMZN,"Amazon.com, Inc. (AMZN)",226.28,-1.81,-0.01,233.06,232.38,0.68,0.29%
NVDA,NVIDIA Corporation (NVDA),182.55,-1.69,-0.01,166.02,179.59,-13.57,-8.17%
JNJ,Johnson & Johnson (JNJ),206.05,2.53,0.02,199.65,205.33,-5.68,-2.84%
PFE,Pfizer Inc. (PFE),25.22,1.18,0.05,26.12,25.57,0.55,2.11%
MRK,"Merck & Co., Inc. (MRK)",100.40,0.01,0.00,101.40,102.27,-0.87,-0.86%
UNH,UnitedHealth Group Incorporated (UNH),319.05,-13.11,-0.03,319.94,339.71,-19.77,-6.18%
LLY,Eli Lilly and Company (LLY),"1,070.16",-0.70,0.00,994.81,"1,033.56",-38.75,-3.90%
JPM,JPMorgan Chase & Co.,298.00,-1.21,-0.01,298.88,312.13,-13.25,-4.43%
BAC,Bank of America Corporation,51.93,-0.42,-0.01,48.13,54.09,-5.96,-12.38%
GS,"Goldman Sachs Group, Inc.",790.71,-11.66,-0.02,823.43,836.57,-13.14,-1.60%
WFC,Wells Fargo & Company,84.66,-1.19,-0.02,82.53,89.35,-6.82,-8.26%
AXP,American Express Company,355.93,-2.35,-0.01,356.93,368.13,-11.20,-3.14%
XOM,ExxonMobil Corporation,115.97,-0.46,0.00,114.38,117.80,-3.42,-2.99%
CVX,Chevron Corporation,149.75,-1.22,-0.01,156.09,151.59,4.50,2.88%
BP,BP p.l.c.,35.91,0.14,0.00,35.30,37.24,-1.94,-5.50%
SLB,Schlumberger Limited,35.71,-0.96,-0.02,36.01,37.55,-1.54,-4.28%
OXY,Occidental Petroleum Corporation,41.43,-0.04,0.00,41.99,42.45,-0.46,-1.10%
PG,Procter & Gamble Company,146.98,-0.81,0.00,157.50,148.71,10.79,6.85%
KO,The Coca-Cola Company,72.59,0.89,0.01,68.90,70.81,-1.91,-2.77%
PEP,"PepsiCo, Inc.",145.50,0.12,0.00,155.43,148.06,7.37,4.74%
NKE,"NIKE, Inc.",61.93,0.77,0.01,63.46,65.65,-2.19,-3.45%
TGT,Target Corporation,84.54,-0.88,-0.01,84.92,90.92,-6.00,-7.07%
UPS,"United Parcel Service, Inc.",93.56,-1.24,-0.01,91.61,98.21,-6.60,-7.20%
FDX,FedEx Corporation,266.98,-6.00,-0.02,276.63,270.45,6.18,2.23%
BA,Boeing Company,179.12,-0.10,0.00,206.03,202.54,3.49,1.69%
CAT,Caterpillar Inc.,559.60,-3.27,-0.01,560.70,591.49,-30.79,-5.49%
TSLA,"Tesla, Inc.",417.78,16.70,0.04,468.84,446.74,22.10,4.71%